,Unnamed: 0,Date,Adj Close,% change
0,0,2022-01-03,55.75,0.0
1,1,2022-01-04,55.75,0.0
2,2,2022-01-05,51.75,-0.0717488789237668
3,3,2022-01-06,52.25,0.009661835748792313
4,4,2022-01-07,50.75,-0.028708133971291905
5,5,2022-01-10,49.25,-0.029556650246305383
6,6,2022-01-11,52.0,0.055837563451776706
7,7,2022-01-12,49.0,-0.05769230769230771
8,8,2022-01-13,47.0,-0.04081632653061229
9,9,2022-01-14,45.5,-0.03191489361702127
10,10,2022-01-18,47.25,0.03846153846153855
11,11,2022-01-19,45.75,-0.031746031746031744
12,12,2022-01-20,44.5,-0.02732240437158473
13,13,2022-01-21,40.25,-0.0955056179775281
14,14,2022-01-24,41.5,0.03105590062111796
15,15,2022-01-25,40.75,-0.01807228915662651
16,16,2022-01-26,41.54999923706055,0.019631883118050197
17,17,2022-01-27,40.25,-0.0312875875073666
18,18,2022-01-28,39.5,-0.018633540372670843
19,19,2022-01-31,42.75,0.08227848101265822
20,20,2022-02-01,44.0,0.029239766081871288
21,21,2022-02-02,44.25,0.005681818181818121
22,22,2022-02-03,41.0,-0.07344632768361581
23,23,2022-02-04,40.0,-0.024390243902439046
24,24,2022-02-07,42.0,0.050000000000000044
25,25,2022-02-08,40.75,-0.029761904761904767
26,26,2022-02-09,41.25,0.012269938650306678
27,27,2022-02-10,42.75,0.036363636363636376
28,28,2022-02-11,43.75,0.023391812865497075
29,29,2022-02-14,41.75,-0.04571428571428571
30,30,2022-02-15,44.5,0.06586826347305386
31,31,2022-02-16,44.25,-0.005617977528089901
32,32,2022-02-17,43.25,-0.02259887005649719
33,33,2022-02-18,42.5,-0.017341040462427793
34,34,2022-02-22,41.25,-0.02941176470588236
35,35,2022-02-23,42.25,0.024242424242424176
36,36,2022-02-24,44.0,0.041420118343195256
37,37,2022-02-25,45.25,0.02840909090909083
38,38,2022-02-28,47.25,0.04419889502762442
39,39,2022-03-01,50.75,0.07407407407407418
