,Unnamed: 0.1,Unnamed: 0,Date,Adj Close,% change
0,0,0,2022-01-03,314.7699890136719,0.0
1,1,1,2022-01-04,317.8299865722656,0.009721376450729124
2,2,2,2022-01-05,292.5799865722656,-0.07944498966984304
3,3,3,2022-01-06,294.7699890136719,0.007485140959446079
4,4,4,2022-01-07,282.7799987792969,-0.04067574950385766
5,5,5,2022-01-10,284.5199890136719,0.00615315878734779
6,6,6,2022-01-11,279.1400146484375,-0.018908950418157988
7,7,7,2022-01-12,283.04998779296875,0.014007211217838655
8,8,8,2022-01-13,270.70001220703125,-0.043631782789443685
9,9,9,2022-01-14,276.6000061035156,0.021795321870809792
10,10,10,2022-01-18,279.1600036621094,0.009255233196327817
11,11,11,2022-01-19,282.19000244140625,0.010853986027899332
12,12,12,2022-01-20,287.010009765625,0.017080716122179318
13,13,13,2022-01-21,272.739990234375,-0.04971958832691248
14,14,14,2022-01-24,295.8299865722656,0.08465937216632069
15,15,15,2022-01-25,285.6400146484375,-0.034445365197415256
16,16,16,2022-01-26,281.2300109863281,-0.015439026172636039
17,17,17,2022-01-27,266.1499938964844,-0.05362164954214954
18,18,18,2022-01-28,270.32000732421875,0.015667907282974625
19,19,19,2022-01-31,284.2799987792969,0.051642464770780716
20,20,20,2022-02-01,299.7200012207031,0.0543126583217457
21,21,21,2022-02-02,299.0,-0.002402246155647547
22,22,22,2022-02-03,291.0,-0.026755852842809347
23,23,23,2022-02-04,283.8299865722656,-0.024639221401149047
24,24,24,2022-02-07,277.8599853515625,-0.021033722661939813
25,25,25,2022-02-08,283.6600036621094,0.02087388834778925
26,26,26,2022-02-09,290.3800048828125,0.023690337495404723
27,27,27,2022-02-10,280.1499938964844,-0.035229736257000877
28,28,28,2022-02-11,264.7099914550781,-0.05511334205886631
29,29,29,2022-02-14,268.82000732421875,0.015526485594851813
30,30,30,2022-02-15,277.0299987792969,0.030540849755934296
31,31,31,2022-02-16,274.75,-0.008230151208690195
32,32,32,2022-02-17,267.9700012207031,-0.024676974628924042
33,33,33,2022-02-18,267.94000244140625,-0.00011194827465843549
34,34,34,2022-02-22,257.07000732421875,-0.04056876546294941
35,35,35,2022-02-23,256.260009765625,-0.003150883166125884
36,36,36,2022-02-24,264.489990234375,0.0321157424300309
37,37,37,2022-02-25,274.4800109863281,0.03777088404404472
38,38,38,2022-02-28,287.2300109863281,0.04645147001482397
39,39,39,2022-03-01,283.2699890136719,-0.013786936675098116
40,40,40,2022-03-02,287.7900085449219,0.01595657749339563
41,41,41,2022-03-03,280.260009765625,-0.026164906896416817
42,42,42,2022-03-04,264.70001220703125,-0.055519863756538834
43,43,43,2022-03-07,245.47999572753903,-0.07261056136430988
44,44,44,2022-03-08,252.2400054931641,0.027537925221116755
45,45,45,2022-03-09,269.739990234375,0.06937830780250742
46,46,46,2022-03-10,267.7900085449219,-0.0072291160378511465
47,47,47,2022-03-11,261.3500061035156,-0.024048703222345758
48,48,48,2022-03-14,251.02999877929688,-0.03948730469947337
49,49,49,2022-03-15,258.7900085449219,0.030912678976059427
50,50,50,2022-03-16,280.5799865722656,0.08419945634632708
51,51,51,2022-03-17,282.3099975585937,0.006165838866353024
52,52,52,2022-03-18,292.0199890136719,0.0343947842409047
53,53,53,2022-03-21,281.1400146484375,-0.03725763569125051
54,54,54,2022-03-22,286.7900085449219,0.020096726193706838
55,55,55,2022-03-23,271.25,-0.05418601792916977
56,56,56,2022-03-24,277.69000244140625,0.02374194448444711
57,57,57,2022-03-25,263.9100036621094,-0.04962367625101849
58,58,58,2022-03-28,270.239990234375,0.023985398372280198
59,59,59,2022-03-29,274.79998779296875,0.016873881451220152
60,60,60,2022-03-30,261.3099975585937,-0.04909021409614567
61,61,61,2022-03-31,243.82000732421875,-0.0669319597328194
62,62,62,2022-04-01,233.72000122070312,-0.04142402510096388
63,63,63,2022-04-04,235.5500030517578,0.0078298897034772
64,64,64,2022-04-05,221.7700042724609,-0.05850137380923315
65,65,65,2022-04-06,211.5,-0.04630925767509775
66,66,66,2022-04-07,206.0599975585937,-0.025721051732417566
67,67,67,2022-04-08,202.67999267578125,-0.016403013310971826
68,68,68,2022-04-11,203.4100036621093,0.0036017910632935024
69,69,69,2022-04-12,203.8300018310547,0.0020647862021725416
70,70,70,2022-04-13,208.94000244140625,0.025069913969715918
71,71,71,2022-04-14,199.72999572753903,-0.04407967170599614
72,72,72,2022-04-18,197.259994506836,-0.012366701414606163
73,73,73,2022-04-19,206.94000244140625,0.049072331968633476
74,74,74,2022-04-20,212.3000030517578,0.025901230052750357
75,75,75,2022-04-21,209.32000732421875,-0.0140367201351973
76,76,76,2022-04-22,207.1199951171875,-0.010510281530917487
77,77,77,2022-04-25,215.0599975585937,0.038335277272065316
78,78,78,2022-04-26,204.6300048828125,-0.048498060049217306
79,79,79,2022-04-27,196.759994506836,-0.03845970868487003
80,80,80,2022-04-28,212.72000122070312,0.08111408395730879
81,81,81,2022-04-29,205.9600067138672,-0.03177883822886152
82,82,82,2022-05-02,208.88999938964844,0.014226027288160692
83,83,83,2022-05-03,210.9100036621093,0.009670181810345513
84,84,84,2022-05-04,225.88999938964844,0.07102553443381487
85,85,85,2022-05-05,218.1999969482422,-0.03404312923185859
86,86,86,2022-05-06,216.92999267578125,-0.005820367966192896
87,87,87,2022-05-09,210.77999877929688,-0.02835013185878832
88,88,88,2022-05-10,214.4900054931641,0.01760132239943646
89,89,89,2022-05-11,206.6100006103516,-0.036738331302171745
90,90,90,2022-05-12,205.1999969482422,-0.006824469570418046
91,91,91,2022-05-13,215.0500030517578,0.04800197977585796
92,92,92,2022-05-16,199.47000122070312,-0.07244827533113274
93,93,93,2022-05-17,207.44000244140625,0.039955888965402586
94,94,94,2022-05-18,181.3500061035156,-0.1257712882319314
95,95,95,2022-05-19,184.38999938964844,0.016763127564482172
96,96,96,2022-05-20,187.5500030517578,0.017137608723734266
97,97,97,2022-05-23,190.5599975585937,0.01604902403550068
98,98,98,2022-05-24,184.72999572753903,-0.030594048623778125
99,99,99,2022-05-25,186.0,0.006874921787656474
100,100,100,2022-05-26,196.27999877929688,0.055268810641381005
101,101,101,2022-05-27,199.13999938964844,0.014571024190638049
102,102,102,2022-05-31,197.58999633789065,-0.00778348426488118
103,103,103,2022-06-01,195.8999938964844,-0.008553076940779114
104,104,104,2022-06-02,207.3800048828125,0.05860138511486768
105,105,105,2022-06-03,210.5200042724609,0.015141283227487534
106,106,106,2022-06-06,221.22000122070312,0.05082650926794585
107,107,107,2022-06-07,220.009994506836,-0.005469698522693522
108,108,108,2022-06-08,207.72000122070312,-0.05586106810139024
109,109,109,2022-06-09,203.1499938964844,-0.022000805398431855
110,110,110,2022-06-10,191.2400054931641,-0.05862657524562409
111,111,111,2022-06-13,181.3000030517578,-0.051976585211725435
112,112,112,2022-06-14,182.0399932861328,0.00408157871990622
113,113,113,2022-06-15,185.6100006103516,0.01961111544652394
114,114,114,2022-06-16,175.41000366210938,-0.05495391904908686
115,115,115,2022-06-17,171.86000061035156,-0.020238315818042807
116,116,116,2022-06-21,174.66000366210938,0.016292348666436363
117,117,117,2022-06-22,170.75999450683594,-0.022329148479913297
118,118,118,2022-06-23,181.57000732421875,0.06330530080305241
119,119,119,2022-06-24,190.69000244140625,0.05022853306880393
120,120,120,2022-06-27,190.92999267578125,0.0012585360076688978
121,121,121,2022-06-28,180.7899932861328,-0.05310846791298629
122,122,122,2022-06-29,183.75,0.016372624723661744
123,123,123,2022-06-30,188.0,0.023129251700680253
124,124,124,2022-07-01,186.8300018310547,-0.006223394515666558
125,125,125,2022-07-05,191.44000244140625,0.0246748411131541
126,126,126,2022-07-06,195.1100006103516,0.019170487474625908
127,127,127,2022-07-07,202.6199951171875,0.03849107930573936
128,128,128,2022-07-08,204.97999572753903,0.011647422106523031
129,129,129,2022-07-11,204.7400054931641,-0.001170798318748778
130,130,130,2022-07-12,206.97000122070312,0.010891841690477522
131,131,131,2022-07-13,192.9499969482422,-0.06773930613021861
132,132,132,2022-07-14,194.69000244140625,0.009017908891860715
133,133,133,2022-07-15,195.6699981689453,0.005033621219630913
134,134,134,2022-07-18,198.759994506836,0.015791875948313328
135,135,135,2022-07-19,209.3999938964844,0.05353189617482346
