Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,40.5,41.400001525878906,37.0,37.5,37.5,3580
2022-06-10,36.54999923706055,39.45000076293945,36.0,36.04999923706055,36.04999923706055,1046
2022-06-13,38.0,45.5,32.599998474121094,36.0,36.0,41318
2022-06-14,36.5,39.04999923706055,33.54999923706055,35.79999923706055,35.79999923706055,12448
2022-06-15,35.5,38.5,33.54999923706055,35.5,35.5,11434
2022-06-16,35.5,36.95000076293945,32.5,33.349998474121094,33.349998474121094,6896
2022-06-17,30.0,35.900001525878906,28.100000381469727,32.95000076293945,32.95000076293945,10066
2022-06-21,33.29999923706055,33.5,30.200000762939453,32.0,32.0,4540
2022-06-22,31.75,33.0,30.049999237060547,30.350000381469727,30.350000381469727,6074
2022-06-23,30.5,31.100000381469727,29.5,29.75,29.75,2950
2022-06-24,31.0,31.299999237060547,30.100000381469727,30.950000762939453,30.950000762939453,2294
2022-06-27,31.200000762939453,34.0,30.5,30.5,30.5,2932
2022-06-28,31.0,32.349998474121094,28.299999237060547,28.5,28.5,5182
2022-06-29,28.899999618530273,30.5,27.600000381469727,28.200000762939453,28.200000762939453,3026
2022-06-30,27.950000762939453,28.850000381469727,27.5,28.850000381469727,28.850000381469727,2002
2022-07-01,27.600000381469727,29.0,27.600000381469727,28.0,28.0,1860
2022-07-05,28.850000381469727,31.100000381469727,28.5,29.0,29.0,3564
2022-07-06,29.0,29.75,28.100000381469727,28.450000762939453,28.450000762939453,2950
2022-07-07,28.450000762939453,30.049999237060547,28.450000762939453,29.700000762939453,29.700000762939453,2166
2022-07-08,28.950000762939453,30.0,28.5,29.0,29.0,2432
2022-07-11,28.149999618530273,30.5,28.149999618530273,29.200000762939453,29.200000762939453,3066
2022-07-12,29.149999618530273,30.149999618530273,28.450000762939453,28.600000381469727,28.600000381469727,1306
2022-07-13,28.5,29.950000762939453,27.149999618530273,28.350000381469727,28.350000381469727,2672
2022-07-14,28.700000762939453,29.399999618530273,27.5,27.649999618530273,27.649999618530273,1012
2022-07-15,28.5,28.5,27.049999237060547,27.700000762939453,27.700000762939453,984
2022-07-18,28.5,29.0,27.5,28.549999237060547,28.549999237060547,1840
2022-07-19,28.5,28.899999618530273,27.549999237060547,28.700000762939453,28.700000762939453,1490
2022-07-20,28.950000762939453,29.5,28.299999237060547,28.600000381469727,28.600000381469727,2534
